Input Text,Output
CERTAIN SPORTS UTILITY VEHICLES MANUFACTURED BETWEEN 2007 AND 2010 HAVE DEFECTIVE ELECTRONIC POWER STEERING ASSIST SYSTEMS. THIS MAY RESULT IN SUDDEN LOSS OF STEERING CONTROL WHILE DRIVING AT HIGH SPEEDS.,"{""Entity"": ""sports utility vehicles"", ""Label"": ""Vehicle""},{""Entity"": ""electronic power steering assist systems"", ""Label"": ""Component""},{""Entity"": ""defective electronic power steering assist systems"", ""Label"": ""Failure Issue""},{""Entity"": ""sudden loss of steering control while driving at high speeds"", ""Label"": ""Failure Issue""}"
CERTAIN HYBRID ELECTRIC VEHICLES MANUFACTURED BETWEEN 2012 AND 2015 HAVE FAULTY HIGH VOLTAGE BATTERIES. THIS MAY CAUSE SPONTANEOUS COMBUSTION.,"{""Entity"": ""hybrid electric vehicles"", ""Label"": ""Vehicle""},{""Entity"": ""high voltage batteries"", ""Label"": ""Component""},{""Entity"": ""faulty high voltage batteries"", ""Label"": ""Failure Issue""},{""Entity"": ""spontaneous combustion"", ""Label"": ""Failure Issue""}"
SOME PICKUP TRUCKS MANUFACTURED BETWEEN 2009 AND 2012 HAVE DEFECTIVE REAR AXLE SHAFTS. THIS COULD RESULT IN LOSS OF VEHICLE CONTROL DURING TURNING.,"{""Entity"": ""pickup trucks"", ""Label"": ""Vehicle""},{""Entity"": ""rear axle shafts"", ""Label"": ""Component""},{""Entity"": ""defective rear axle shafts"", ""Label"": ""Failure Issue""},{""Entity"": ""loss of vehicle control during turning"", ""Label"": ""Failure Issue""}"
CERTAIN LUXURY SEDANS MANUFACTURED BETWEEN 2016 AND 2018 HAVE FAULTY AUTOMATIC EMERGENCY BRAKING SYSTEMS. THIS MAY CAUSE COLLISIONS DUE TO UNEXPECTED BRAKE APPLICATION.,"{""Entity"": ""luxury sedans"", ""Label"": ""Vehicle""},{""Entity"": ""automatic emergency braking systems"", ""Label"": ""Component""},{""Entity"": ""faulty automatic emergency braking systems"", ""Label"": ""Failure Issue""},{""Entity"": ""collisions due to unexpected brake application"", ""Label"": ""Failure Issue""}"
SOME COMPACT CARS MANUFACTURED BETWEEN 2010 AND 2013 HAVE DEFECTIVE ACCELERATOR PEDALS. THIS COULD RESULT IN UNINTENDED ACCELERATION INCIDENTS.,"{""Entity"": ""compact cars"", ""Label"": ""Vehicle""},{""Entity"": ""accelerator pedals"", ""Label"": ""Component""},{""Entity"": ""defective accelerator pedals"", ""Label"": ""Failure Issue""},{""Entity"": ""unintended acceleration incidents"", ""Label"": ""Failure Issue""}"
CERTAIN MINIVANS MANUFACTURED BETWEEN 2005 AND 2008 HAVE FAULTY SLIDING DOOR SENSORS. THIS MAY LEAD TO DOOR CLOSURE MALFUNCTIONS.,"{""Entity"": ""minivans"", ""Label"": ""Vehicle""},{""Entity"": ""sliding door sensors"", ""Label"": ""Component""},{""Entity"": ""faulty sliding door sensors"", ""Label"": ""Failure Issue""},{""Entity"": ""door closure malfunctions"", ""Label"": ""Failure Issue""}"
SOME HEAVY-DUTY TRUCKS MANUFACTURED BETWEEN 2014 AND 2017 HAVE DEFECTIVE EXHAUST GAS RECIRCULATION VALVES. THIS MAY RESULT IN ENGINE MALFUNCTIONS AND LOSS OF POWER.,"{""Entity"": ""heavy-duty trucks"", ""Label"": ""Vehicle""},{""Entity"": ""exhaust gas recirculation valves"", ""Label"": ""Component""},{""Entity"": ""defective exhaust gas recirculation valves"", ""Label"": ""Failure Issue""},{""Entity"": ""engine malfunctions and loss of power"", ""Label"": ""Failure Issue""}"
CERTAIN SUVs MANUFACTURED BETWEEN 2008 AND 2011 HAVE FAULTY SIDE AIRBAG SENSORS. THIS MAY CAUSE NON-DEPLOYMENT DURING SIDE IMPACT COLLISIONS.,"{""Entity"": ""SUVs"", ""Label"": ""Vehicle""},{""Entity"": ""side airbag sensors"", ""Label"": ""Component""},{""Entity"": ""faulty side airbag sensors"", ""Label"": ""Failure Issue""},{""Entity"": ""non-deployment during side impact collisions"", ""Label"": ""Failure Issue""}"
SOME LUXURY SEDANS MANUFACTURED BETWEEN 2019 AND 2022 HAVE DEFECTIVE ADAPTIVE CRUISE CONTROL MODULES. THIS MAY LEAD TO UNEXPECTED SPEED CHANGES.,"{""Entity"": ""luxury sedans"", ""Label"": ""Vehicle""},{""Entity"": ""adaptive cruise control modules"", ""Label"": ""Component""},{""Entity"": ""defective adaptive cruise control modules"", ""Label"": ""Failure Issue""},{""Entity"": ""unexpected speed changes"", ""Label"": ""Failure Issue""}"
CERTAIN SPORTS CARS MANUFACTURED BETWEEN 2015 AND 2018 HAVE FAULTY TURBOCHARGERS. THIS MAY RESULT IN ENGINE STALLS DURING ACCELERATION.,"{""Entity"": ""sports cars"", ""Label"": ""Vehicle""},{""Entity"": ""turbochargers"", ""Label"": ""Component""},{""Entity"": ""faulty turbochargers"", ""Label"": ""Failure Issue""},{""Entity"": ""engine stalls during acceleration"", ""Label"": ""Failure Issue""}"
"HEAVY DUTY TRUCKS EQUIPPED WITH TRW TIE ROD ENDS ON CERTAIN ARVINMERITOR AND DANA AXLES.  PETERBILT WILL RECALL 1,434 VEHICLES EQUIPPED WITH ARVINMERITOR AXLES MANUFACTURED FROM DECEMBER 11, 1999, TO MAY 14, 2000, AND FROM JULY 22 TO SEPTEMBER 30, 2000.  KENWORTH WILL RECALL 859 VEHICLES EQUIPPED WITH ARVINMERITOR VEHICLES MANUFACTURED FROM DECEMBER 11, 1999, TO MAY 23, 2000, AND FROM JULY 27, 2000, TO SEPTEMBER 30, 2000 AND KENNWORTH WILL RECALL AN ADDITIONAL 4,151 VEHICLES EQUIPPED WITH DANA AXLES AND MANUFACTURED FROM JUNE 23 TO DECEMBER 6, 1999, AND FROM MAY 23 TO SEPTEMBER 30, 2000.  THE TIE ROD AND DRAG LINK BALL STUD ENDS CONTAIN BEARINGS THAT ARE BELOW THE SPECIFIED CASE DEPTH AND/OR HARDNESS.    THIS CAN LEAD TO PREMATURE WEAR WITH POSSIBLE SEPARATION OF THE BALL STUD FROM THE SOCKET, INCREASING THE RISK OF LOSS OF CONTROL OF THE VEHICLE.    DEALERS WILL REMOVE AND REPLACE ALL AFFECTED TIE RODS AND DRAG LINKS WITH DIFFERENT DESIGNED ENDS.","{""Entity"": ""heavy duty trucks"", ""Label"": ""Vehicle""},{""Entity"": ""TRW tie rod ends"", ""Label"": ""Component""},{""Entity"": ""ArvinMeritor and Dana axles"", ""Label"": ""Component""},{""Entity"": ""recalled vehicles"", ""Label"": ""Procedure""},{""Entity"": ""premature wear with possible separation of the ball stud from the socket"", ""Label"": ""Failure Issue""},{""Entity"": ""loss of control of the vehicle"", ""Label"": ""Failure Issue""},{""Entity"": ""tire rod and drag link ball stud ends"", ""Label"": ""Component""},{""Entity"": ""below specified case depth and/or hardness"", ""Label"": ""Failure Issue""},{""Entity"": ""dealers"", ""Label"": ""Participant""}"
"PIERCE MANUFACTURING (PIERCE) IS RECALLING CERTAIN MODEL YEAR 2007-2011 ARROW XTAND VELOCITY, MODEL YEAR 2008-2011 CUSTOM CONTENDER, IMPEL, QUANTUM AND MODEL YEAR 2009-2011 SABER EMERGENCY TRUCKS, EQUIPPED WITH MERITOR WABCO ELECTRONIC STABILITY CONTROL (ESC) MODULES, MANUFACTURED FROM DECEMBER 19, 2007, THROUGH OCTOBER 7, 2011.  UNDER CERTAIN ROAD AND DRIVING CONDITIONS, VEHICLE BODY ROLL AND ROAD INCLINATION CHARACTERISTICS MAY ADVERSELY AFFECT THE SLIP ANGLE CALCULATION OF THE ELECTRONIC STABILITY CONTROL (ESC) SYSTEM.  THIS MIGHT CAUSE THE ESC TO PERCEIVE AN OVER STEERING SITUATION AND THEREFORE APPLY THE OUTER WHEEL BRAKE ON THE FRONT AXLE UNTIL THE VEHICLE IS PERCEIVED TO BE STABLE.    IF THE DRIVER IS SLOW TO REACT DURING THIS ESC INTERVENTION, THE VEHICLE MAY DEVIATE FROM THE INTENDED LINE OF TRAVEL, INCREASING THE RISK OF A CRASH.    PIERCE IS WORKING WITH MERITOR WABCO AND WILL REPLACE THE CONTROL MODULE FREE OF CHARGE.","{""Entity"": ""Pierce Manufacturing"", ""Label"": ""Manufacturer""},{""Entity"": ""model year 2007-2011 Arrow XT and Velocity, model year 2008-2011 Custom Contender, Impel, Quantum, and model year 2009-2011 Saber emergency trucks"", ""Label"": ""Vehicle""},{""Entity"": ""Meritor WABCO electronic stability control (ESC) modules"", ""Label"": ""Component""},{""Entity"": ""manufactured from December 19, 2007, through October 7, 2011"", ""Label"": ""Date""},{""Entity"": ""certain road and driving conditions"", ""Label"": ""Condition""},{""Entity"": ""vehicle body roll and road inclination characteristics"", ""Label"": ""Condition""},{""Entity"": ""slip angle calculation of the electronic stability control (ESC) system"", ""Label"": ""Failure Issue""},{""Entity"": ""outer wheel brake on the front axle"", ""Label"": ""Component""},{""Entity"": ""driver"", ""Label"": ""Participant""},{""Entity"": ""intended line of travel"", ""Label"": ""Procedure""},{""Entity"": ""risk of a crash"", ""Label"": ""Failure Issue""},{""Entity"": ""control module"", ""Label"": ""Component""}"
"DAIMLER TRUCKS IS RECALLING CERTAIN MODEL YEAR 2005-2011 FREIGHTLINER CASCADIA, COLUMBIA, CENTURY, CORONADO, AND CLASSIC XL TRUCKS MANUFACTURED FROM NOVEMBER 1, 2004, THROUGH JUNE 15, 2010 FOR THE RACK AND PINION STEERING SYSTEM. THE LOWER PINION BEARING MAY CORRODE AND FAIL. A FAILED BEARING MAY LEAD TO DAMAGE OF THE SPOOL VALVE SEALS. A DAMAGE SPOOL VALVE SEAL MAY ALLOW HYDRAULIC FLUID TO FLOW TO THE RIGHT OR LEFT TURN PORT INSTEAD OF FLOWING TO THE RETURN PORT. THE STEERING COULD UNEXPECTEDLY TURN LEFT OR RIGHT, MAKING THE VEHICLE MORE DIFFICULT TO CONTROL AND INCREASING THE RISK OF A CRASH. DAIMLER TRUCKS WILL INSPECT THE LOWER BEARING FOR CORROSION. IF CORROSION IS FOUND, THE RACK AND PINION SYSTEM WILL BE REPLACED. IF NO CORROSION IS FOUND, ON THE BEARING, THE BEARING WILL BE PACKED WITH GREASE AND THE RUBBER BELLOWS WILL BE REPLACED WITH SEALANT ADDED BETWEEN THE BELLOWS AND THE RACK HOUSING.","{""Entity"": ""DAIMLER TRUCKS"", ""Label"": ""Manufacturer""},{""Entity"": ""FREIGHTLINER CASCADIA, COLUMBIA, CENTURY, CORONADO, AND CLASSIC XL TRUCKS"", ""Label"": ""Vehicle""},{""Entity"": ""RACK AND PINION STEERING SYSTEM"", ""Label"": ""Component""},{""Entity"": ""LOWER PINION BEARING"", ""Label"": ""Component""},{""Entity"": ""SPOOL VALVE SEALS"", ""Label"": ""Component""},{""Entity"": ""HYDRAULIC FLUID"", ""Label"": ""Component""},{""Entity"": ""STEERING"", ""Label"": ""Component""},{""Entity"": ""CORROSION"", ""Label"": ""Failure Issue""},{""Entity"": ""GREASE"", ""Label"": ""Component""},{""Entity"": ""RUBBER BELLOWS"", ""Label"": ""Component""},{""Entity"": ""SEALANT"", ""Label"": ""Component""},{""Entity"": ""CRASH"", ""Label"": ""Failure Issue""}"
"THE REAR SEAT BELT BUCKLE ANCHORS MAY BE INSTALLED WITH THE BUCKLE ANCHORS ROTATED 180 DEGREES OUT OF POSITION.  IN THE EVENT OF A CRASH, THE OCCUPANT MAY NOT BE PROPERLY RESTRAINED, INCREASING THE RISK OF INJURY OR DEATH.","{""Entity"": ""REAR SEAT BELT BUCKLE ANCHORS"", ""Label"": ""Component""},{""Entity"": ""BUCKLE ANCHORS"", ""Label"": ""Component""},{""Entity"": ""CRASH"", ""Label"": ""Failure Issue""},{""Entity"": ""OCCUPANT"", ""Label"": ""Component""},{""Entity"": ""INJURY OR DEATH"", ""Label"": ""Failure Issue""}"
"CERTAIN FOUR-WHEEL DRIVE VEHICLES EQUIPPED WITH AN AUTOMATIC TRANSMISSION HAVE A TRANSMISSION PARKING PAWL THAT MAY BECOME DEFORMED.  A DEFORMED PARKING PAWL MAY NOT ENGAGE THE PARK GEAR AS INTENDED AND COULD RESULT IN UNINTENDED VEHICLE MOVEMENT, INCREASING THE RISK OF A CRASH.","{""Entity"": ""FOUR-WHEEL DRIVE VEHICLES"", ""Label"": ""Vehicle""},{""Entity"": ""AUTOMATIC TRANSMISSION"", ""Label"": ""Component""},{""Entity"": ""TRANSMISSION PARKING PAWL"", ""Label"": ""Component""},{""Entity"": ""PARK GEAR"", ""Label"": ""Component""},{""Entity"": ""DEFORMED PARKING PAWL"", ""Label"": ""Failure Issue""},{""Entity"": ""UNINTENDED VEHICLE MOVEMENT"", ""Label"": ""Failure Issue""},{""Entity"": ""CRASH"", ""Label"": ""Failure Issue""}"
SOME HYBRID AND PLUG-IN HYBRID VEHICLES MAY EXPERIENCE A DELAYED ENGAGEMENT OF THE HIGH VOLTAGE RELAY DURING THE START-UP SEQUENCE.  A DELAY IN ENGAGING THE RELAY MAY RESULT IN A DELAY IN PROPULSION OR LOSS OF PROPULSION INCREASING THE RISK OF A CRASH.,"{""Entity"": ""HYBRID AND PLUG-IN HYBRID VEHICLES"", ""Label"": ""Vehicle""},{""Entity"": ""HIGH VOLTAGE RELAY"", ""Label"": ""Component""},{""Entity"": ""PROPULSION"", ""Label"": ""Component""},{""Entity"": ""LOSS OF PROPULSION"", ""Label"": ""Failure Issue""}"
"General Motors, LLC (GM) is recalling certain Autoliv Driver Front Air Bags sold as service replacement parts for 2011-2012 Chevrolet Silverado 1500, Suburban, and Tahoe vehicles. The driver's air bag inflator may deploy improperly due to a manufacturing defect. An air bag that does not deploy properly in a crash increases the risk of injury. Dealers will inspect and replace the driver air bag module as necessary.","{""Entity"": ""General Motors, LLC (GM)"", ""Label"": ""Manufacturer""},{""Entity"": ""Autoliv Driver Front Air Bags"", ""Label"": ""Component""},{""Entity"": ""Chevrolet Silverado 1500, Suburban, and Tahoe vehicles"", ""Label"": ""Vehicle""},{""Entity"": ""driver s air bag inflator"", ""Label"": ""Component""},{""Entity"": ""manufacturing defect"", ""Label"": ""Failure Issue""},{""Entity"": ""improper deployment of air bag"", ""Label"": ""Failure Issue""},{""Entity"": ""crash"", ""Label"": ""Procedure""},{""Entity"": ""risk of injury"", ""Label"": ""Failure Issue""},{""Entity"": ""driver air bag module"", ""Label"": ""Component""}"
"CERTAIN SPORTS CARS MAY HAVE A FAULTY BRAKE MASTER CYLINDER. THIS COULD LEAD TO A LOSS OF BRAKING CAPABILITY, INCREASING THE RISK OF A CRASH.","{""Entity"": ""SPORTS CARS"", ""Label"": ""Vehicle""},{""Entity"": ""BRAKE MASTER CYLINDER"", ""Label"": ""Component""},{""Entity"": ""FAULTY BRAKE MASTER CYLINDER"", ""Label"": ""Failure Issue""},{""Entity"": ""LOSS OF BRAKING CAPABILITY"", ""Label"": ""Failure Issue""},{""Entity"": ""CRASH"", ""Label"": ""Failure Issue""}"
CERTAIN MINIVANS MAY HAVE DEFECTIVE SLIDING DOORS. THIS COULD RESULT IN UNEXPECTED OPENING OF THE DOORS WHILE DRIVING.,"{""Entity"": ""MINIVANS"", ""Label"": ""Vehicle""},{""Entity"": ""SLIDING DOORS"", ""Label"": ""Component""},{""Entity"": ""DEFECTIVE SLIDING DOORS"", ""Label"": ""Failure Issue""},{""Entity"": ""UNEXPECTED OPENING OF THE DOORS WHILE DRIVING"", ""Label"": ""Failure Issue""}"
"RECALL OF CERTAIN CHEVROLET SILVERADO TRUCKS.  THESE VEHICLES MAY HAVE A STEERING ISSUE WHEREBY THE PITMAN ARM MAY FRACTURE, CAUSING A LOSS OF STEERING CONTROL AND INCREASING THE RISK OF A CRASH.","{""Entity"": ""Chevrolet Silverado"", ""Label"": ""Vehicle""},{""Entity"": ""steering issue"", ""Label"": ""Failure Issue""},{""Entity"": ""pitman arm"", ""Label"": ""Component""},{""Entity"": ""fracture"", ""Label"": ""Failure Issue""},{""Entity"": ""loss of steering control"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of a crash"", ""Label"": ""Failure Issue""}"
"Jaguar Land Rover North America, LLC (Jaguar) is recalling certain model year 2013-2015 XK (XKR and XKR-S) vehicles manufactured August 24, 2012, to June 10, 2014, and equipped with a 5.0L engine. The tire placard has incorrect information for the spare tire stating ""none"" for the inflation pressure of the spare wheel. Thus, these vehicles do not comply with the requirements of the Federal Motor Vehicle Safety Standard No. 110, ""Tire Selection and Rims for Passenger Cars."" If the recommended pressure for the spare tire is not provided, the tire may not be properly inflated which may result in its failure, increasing the risk of a crash. Jaguar will notify owners, and dealers will inspect the vehicles and, as necessary","{""Entity"": ""Jaguar Land Rover North America, LLC (Jaguar)"", ""Label"": ""Manufacturer""},{""Entity"": ""XK (XKR and XKR-S) vehicles"", ""Label"": ""Vehicle""},{""Entity"": ""5.0L engine"", ""Label"": ""Component""},{""Entity"": ""tire placard"", ""Label"": ""Component""},{""Entity"": ""Federal Motor Vehicle Safety Standard No. 110"", ""Label"": ""Procedure""},{""Entity"": ""inflation pressure of the spare wheel"", ""Label"": ""Component""},{""Entity"": ""incorrect information"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of a crash"", ""Label"": ""Failure Issue""},{""Entity"": ""owners"", ""Label"": ""Component""},{""Entity"": ""dealers"", ""Label"": ""Component""}"
"Certain luxury SUVs may have defective air suspension systems. This could result in sudden loss of vehicle height control, increasing the risk of a crash.","{""Entity"": ""luxury SUVs"", ""Label"": ""Vehicle""},{""Entity"": ""air suspension systems"", ""Label"": ""Component""},{""Entity"": ""defective air suspension systems"", ""Label"": ""Failure Issue""},{""Entity"": ""sudden loss of vehicle height control"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of a crash"", ""Label"": ""Failure Issue""}"
"Some electric cars may have faulty battery management systems. This could lead to overcharging or overheating of the batteries, increasing the risk of a fire.","{""Entity"": ""electric cars"", ""Label"": ""Vehicle""},{""Entity"": ""battery management systems"", ""Label"": ""Component""},{""Entity"": ""faulty battery management systems"", ""Label"": ""Failure Issue""},{""Entity"": ""overcharging or overheating of the batteries"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of a fire"", ""Label"": ""Failure Issue""}"
"TOYOTA IS RECALLING CERTAIN MODEL YEAR 2005-2010 AVALON, MODEL YEAR 2007-2010 CAMRY, MODEL YEAR 2009-2010 COROLLA, COROLLA MATRIX, RAV4, MODEL YEAR 2010 HIGHLANDER, MODEL YEAR 2008-2010 SEQUOIA, AND MODEL YEAR 2007-2010 TUNDRA VEHICLES.  DUE TO THE MANNER IN WHICH THE FRICTION LEVER INTERACTS WITH THE SLIDING SURFACE OF THE ACCELERATOR PEDAL INSIDE THE PEDAL SENSOR ASSEMBLY, THE SLIDING SURFACE OF THE LEVER MAY BECOME SMOOTH DURING VEHICLE OPERATION. IN THIS CONDITION, IF CONDENSATION OCCURS ON THE SURFACE, AS MAY OCCUR FROM HEATER OPERATION (WITHOUT A/C) WHEN THE PEDAL ASSEMBLY IS COLD, THE FRICTION WHEN THE ACCELERATOR PEDAL IS OPERATED MAY INCREASE, WHICH MAY RESULT IN THE ACCELERATOR PEDAL BECOMING HARDER TO DEPRESS, SLOWER TO RETURN, OR, IN THE WORST CASE, MECHANICALLY STUCK IN A PARTIALLY DEPRESSED POSITION.  THIS MAY INCREASE THE RISK OF A CRASH.","{""Entity"": ""Toyota"", ""Label"": ""Manufacturer""},{""Entity"": ""model year 2005-2010 Avalon, model year 2007-2010 Camry, model year 2009-2010 Corolla, Corolla Matrix, RAV4, model year 2010 Highlander, model year 2008-2010 Sequoia, and model year 2007-2010 Tundra vehicles"", ""Label"": ""Vehicle""},{""Entity"": ""friction lever"", ""Label"": ""Component""},{""Entity"": ""sliding surface"", ""Label"": ""Component""},{""Entity"": ""accelerator pedal"", ""Label"": ""Component""},{""Entity"": ""pedal sensor assembly"", ""Label"": ""Component""},{""Entity"": ""condensation"", ""Label"": ""Environment""},{""Entity"": ""heater operation"", ""Label"": ""Procedure""},{""Entity"": ""accelerator pedal operation"", ""Label"": ""Procedure""},{""Entity"": ""risk of a crash"", ""Label"": ""Failure Issue""}"
"General Motors LLC (GM) is recalling certain model year 2007-2011 Chevrolet Silverado HD 2500/3500 trucks manufactured January 18, 2007, to June 22, 2011, and GMC Sierra HD 2500/3500 trucks manufactured January 22, 2007, to June 21, 2011, and equipped with an auxiliary battery. Owners may unknowingly draw too much current through the vehicle's trailer harness resulting in the melting of fusible link for the auxiliary battery. If the fusible link melts it may come into contact with adjacent components, damage the electrical center cover, the nearby wiring harness conduit and other vehicle components, increasing the risk of a fire. GM will notify owners and dealers will replace the jumper harness with one that includes a 40 amp inline fuse,","{""Entity"": ""General Motors LLC (GM)"", ""Label"": ""Manufacturer""},{""Entity"": ""Chevrolet Silverado HD 2500/3500 trucks"", ""Label"": ""Vehicle""},{""Entity"": ""GMC Sierra HD 2500/3500 trucks"", ""Label"": ""Vehicle""},{""Entity"": ""model year 2007-2011"", ""Label"": ""Vehicle""},{""Entity"": ""auxiliary battery"", ""Label"": ""Component""},{""Entity"": ""trailer harness"", ""Label"": ""Component""},{""Entity"": ""fusible link"", ""Label"": ""Component""},{""Entity"": ""melting of fusible link"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of a fire"", ""Label"": ""Failure Issue""},{""Entity"": ""owners"", ""Label"": ""Component""},{""Entity"": ""dealers"", ""Label"": ""Component""},{""Entity"": ""jumper harness"", ""Label"": ""Component""},{""Entity"": ""40 amp inline fuse"", ""Label"": ""Component""}"
"Certain compact cars may have defective airbag control units. This could lead to non-deployment or unintended deployment of airbags, increasing the risk of injury in a crash.","{""Entity"": ""compact cars"", ""Label"": ""Vehicle""},{""Entity"": ""airbag control units"", ""Label"": ""Component""},{""Entity"": ""defective airbag control units"", ""Label"": ""Failure Issue""},{""Entity"": ""non-deployment or unintended deployment of airbags"", ""Label"": ""Failure Issue""},{""Entity"": ""risk of injury in a crash"", ""Label"": ""Failure Issue""}"
